45.00,-70.00,31.00,10.00,3.00,-69.00,29.00,5.00,9.00,2.00,27.00,-17.00,-9.00,16.00,-16.00,-24.00,546.43,-56.16,-2487.00,-733.50,0,0,0,0,
45.00,-70.00,31.00,10.00,3.00,-69.00,29.00,5.00,9.00,5.00,27.00,-17.00,-9.00,16.00,-16.00,-24.00,546.43,-56.16,-2487.00,-736.36,0,0,0,0,
45.00,-70.00,31.00,10.00,3.00,-69.00,29.00,5.00,9.00,8.00,27.00,-17.00,-9.00,16.00,-16.00,-24.00,543.78,-56.16,-2487.00,-733.50,0,0,0,0,
42.00,-70.00,31.00,10.00,3.00,-69.00,29.00,5.00,9.00,3.00,27.00,-17.00,-9.00,16.00,-16.00,-24.00,546.43,-56.16,-2487.00,-728.55,0,0,0,0,
43.00,-70.00,31.00,9.00,0.00,-70.00,28.00,4.00,8.00,3.00,26.00,-18.00,-9.00,16.00,-16.00,-25.00,559.81,-56.16,-2487.00,-731.55,0,0,0,0,
43.00,-70.00,31.00,10.00,3.00,-69.00,29.00,5.00,9.00,8.00,27.00,-17.00,-9.00,16.00,-16.00,-24.00,546.43,-56.16,-2487.00,-746.15,0,0,0,0,
45.00,-70.00,31.00,10.00,3.00,-69.00,29.00,5.00,9.00,4.00,27.00,-17.00,-9.00,16.00,-16.00,-24.00,549.08,-56.16,-2487.00,-734.46,0,0,0,0,
44.00,-70.00,31.00,10.00,3.00,-70.00,29.00,5.00,9.00,3.00,27.00,-17.00,-9.00,16.00,-16.00,-24.00,546.43,-56.16,-2487.00,-733.50,0,0,0,0,
45.00,-70.00,31.00,10.00,3.00,-69.00,29.00,5.00,8.00,7.00,27.00,-17.00,-9.00,16.00,-16.00,-24.00,549.08,-56.16,-2487.00,-734.46,0,0,0,0,
45.00,-70.00,31.00,10.00,3.00,-70.00,29.00,5.00,9.00,6.00,27.00,-17.00,-9.00,16.00,-16.00,-24.00,546.43,-56.16,-2487.00,-735.42,0,0,0,0,
41.00,-70.00,31.00,9.00,2.00,-70.00,28.00,7.00,9.00,2.00,26.00,-18.00,-9.00,16.00,-16.00,-25.00,559.81,-56.16,-2487.00,-725.48,0,0,0,0,
47.00,-70.00,31.00,10.00,3.00,-70.00,29.00,5.00,9.00,6.00,27.00,-17.00,-9.00,16.00,-16.00,-24.00,543.78,-56.16,-2487.00,-734.46,0,0,0,0,
47.00,-70.00,31.00,10.00,3.00,-69.00,29.00,5.00,9.00,7.00,27.00,-17.00,-9.00,16.00,-15.00,-24.00,546.43,-56.16,-2487.00,-731.55,0,0,0,0,
44.00,-70.00,31.00,10.00,2.00,-69.00,29.00,5.00,9.00,2.00,27.00,-17.00,-9.00,16.00,-16.00,-24.00,554.42,-56.16,-2487.00,-733.50,0,0,0,0,
45.00,-70.00,31.00,9.00,3.00,-69.00,29.00,5.00,9.00,5.00,27.00,-17.00,-9.00,16.00,-16.00,-24.00,546.43,-56.16,-2487.00,-730.56,0,0,0,0,
45.00,-70.00,31.00,10.00,3.00,-69.00,29.00,5.00,8.00,8.00,27.00,-17.00,-9.00,16.00,-16.00,-24.00,551.75,-56.16,-2487.00,-732.53,0,0,0,0,
47.00,-70.00,31.00,10.00,3.00,-69.00,29.00,5.00,9.00,3.00,27.00,-17.00,-9.00,16.00,-16.00,-24.00,546.43,-56.16,-2487.00,-731.55,0,0,0,0,
43.00,-70.00,31.00,10.00,3.00,-69.00,29.00,5.00,7.00,4.00,27.00,-17.00,-9.00,16.00,-16.00,-24.00,543.78,-56.16,-2487.00,-734.46,0,0,0,0,
48.00,-70.00,31.00,10.00,3.00,-69.00,29.00,5.00,9.00,8.00,27.00,-17.00,-9.00,16.00,-16.00,-24.00,546.43,-56.16,-2487.00,-733.50,0,0,0,0,
42.00,-70.00,31.00,9.00,3.00,-69.00,29.00,5.00,9.00,5.00,27.00,-17.00,-9.00,16.00,-16.00,-24.00,551.75,-56.16,-2487.00,-729.56,0,0,0,0,
45.00,-70.00,31.00,10.00,3.00,-69.00,29.00,5.00,9.00,3.00,27.00,-17.00,-9.00,16.00,-16.00,-24.00,546.43,-56.16,-2487.00,-733.50,0,0,0,0,
44.00,-70.00,31.00,10.00,3.00,-69.00,29.00,4.00,8.00,7.00,26.00,-18.00,-9.00,16.00,-16.00,-25.00,554.42,-56.16,-2487.00,-740.05,0,0,0,0,
45.00,-70.00,31.00,9.00,3.00,-69.00,29.00,5.00,9.00,6.00,27.00,-17.00,-9.00,16.00,-16.00,-24.00,546.43,-56.16,-2487.00,-733.50,0,0,0,0,
46.00,-70.00,31.00,10.00,3.00,-69.00,29.00,5.00,9.00,2.00,27.00,-17.00,-9.00,16.00,-16.00,-24.00,551.75,-56.16,-2487.00,-736.36,0,0,0,0,
41.00,-70.00,31.00,10.00,2.00,-69.00,29.00,5.00,9.00,6.00,27.00,-17.00,-9.00,17.00,-16.00,-24.00,551.75,-56.16,-2487.00,-733.50,0,0,0,0,
42.00,-70.00,31.00,10.00,3.00,-69.00,29.00,5.00,9.00,7.00,27.00,-17.00,-9.00,16.00,-16.00,-24.00,551.75,-56.16,-2487.00,-746.15,0,0,0,0,
45.00,-70.00,31.00,10.00,2.00,-69.00,29.00,5.00,9.00,3.00,27.00,-17.00,-9.00,16.00,-16.00,-24.00,546.43,-56.16,-2487.00,-734.46,0,0,0,0,
46.00,-70.00,31.00,9.00,2.00,-70.00,28.00,4.00,8.00,4.00,26.00,-18.00,-9.00,16.00,-16.00,-25.00,557.11,-56.16,-2487.00,-740.95,0,0,0,0,
